R_fighter,B_fighter,finish,finish_details,date
Jared Cannonier,Glover Teixeira,U-DEC,,2/11/2017
Jim Miller,Dustin Poirier,M-DEC,,2/11/2017
Randy Brown,Belal Muhammad,U-DEC,,2/11/2017
Yuta Sasaki,Wilson Reis,U-DEC,,2/11/2017
Nik Lentz,Islam Makhachev,U-DEC,,2/11/2017
Phillipe Nover,Rick Glenn,S-DEC,,2/11/2017
Roan Carneiro,Ryan LaFlare,U-DEC,,2/11/2017
Dennis Bermudez,Chan Sung Jung,KO/TKO,Punch,2/4/2017
Alexa Grasso,Felice Herrig,U-DEC,,2/4/2017
Abel Trujillo,James Vick,SUB,D'Arce Choke,2/4/2017
Ovince Saint Preux,Volkan Oezdemir,S-DEC,,2/4/2017
Anthony Hamilton,Marcel Fortuna,KO/TKO,Punch,2/4/2017
Angela Hill,Jessica Andrade,U-DEC,,2/4/2017
Curtis Blaydes,Adam Milstead,Overturned,,2/4/2017
Chris Gruetzemacher,Chas Skelly,SUB,Rear Naked Choke,2/4/2017
Michinori Tanaka,Ricardo Ramos,U-DEC,,2/4/2017
Bec Rawlings,Tecia Torres,U-DEC,,2/4/2017
Niko Price,Alex Morono,Overturned,Punch,2/4/2017
Daniel Jolly,Khalil Rountree Jr.,KO/TKO,Knees,2/4/2017
Julianna Pena,Valentina Shevchenko,SUB,Armbar,1/28/2017
Donald Cerrone,Jorge Masvidal,KO/TKO,Punches,1/28/2017
Andrei Arlovski,Francis Ngannou,KO/TKO,Punch,1/28/2017
Alex Caceres,Jason Knight,SUB,Rear Naked Choke,1/28/2017
Nate Marquardt,Sam Alvey,U-DEC,,1/28/2017
Aljamain Sterling,Raphael Assuncao,S-DEC,,1/28/2017
Bobby Nash,Jingliang Li,KO/TKO,Punch,1/28/2017
Henrique da Silva,Jordan Johnson,U-DEC,,1/28/2017
Alessio Di Chirico,Eric Spicely,SUB,Triangle Choke,1/28/2017
Jeremy Kimball,Marcos Rogerio de Lima,KO/TKO,Punches,1/28/2017
Eric Shelton,Alexandre Pantoja,S-DEC,,1/28/2017
JC Cottrell,Jason Gonzalez,SUB,D'Arce Choke,1/28/2017
BJ Penn,Yair Rodriguez,KO/TKO,Punches,1/15/2017
Marcin Held,Joe Lauzon,S-DEC,,1/15/2017
Court McGee,Ben Saunders,U-DEC,,1/15/2017
John Moraga,Sergio Pettis,U-DEC,,1/15/2017
Devin Powell,Drakkar Klose,U-DEC,,1/15/2017
Frankie Saenz,Augusto Mendes,S-DEC,,1/15/2017
Viktor Pesta,Aleksei Oleinik,SUB,Other - Choke,1/15/2017
Alex White,Anthony Rocco Martin,U-DEC,,1/15/2017
Jocelyn Jones-Lybarger,Nina Ansaroff,SUB,Rear Naked Choke,1/15/2017
Chase Sherman,Walt Harris,KO/TKO,Knee,1/15/2017
Bojan Mihajlovic,Joachim Christensen,KO/TKO,Punches,1/15/2017
Dmitrii Smoliakov,Cyril Asker,KO/TKO,Punches,1/15/2017
Ronda Rousey,Amanda Nunes,KO/TKO,Punches,12/30/2016
Dominick Cruz,Cody Garbrandt,U-DEC,,12/30/2016
John Lineker,TJ Dillashaw,U-DEC,,12/30/2016
Tarec Saffiedine,Dong Hyun Kim,S-DEC,,12/30/2016
Louis Smolka,Ray Borg,U-DEC,,12/30/2016
Johny Hendricks,Neil Magny,U-DEC,,12/30/2016
Marvin Vettori,Antonio Carlos Junior,U-DEC,,12/30/2016
Mike Pyle,Alex Garcia,KO/TKO,Punch,12/30/2016
Brandon Thatch,Niko Price,SUB,Arm Triangle,12/30/2016
Tim Means,Alex Oliveira,CNC,,12/30/2016
Paige VanZant,Michelle Waterson,SUB,Rear Naked Choke,12/17/2016
Sage Northcutt,Mickey Gall,SUB,Rear Naked Choke,12/17/2016
Brad Pickett,Urijah Faber,U-DEC,,12/17/2016
Mike Perry,Alan Jouban,U-DEC,,12/17/2016
Henrique da Silva,Paul Craig,SUB,Armbar,12/17/2016
Cole Miller,Mizuto Hirota,U-DEC,,12/17/2016
Bryan Barberena,Colby Covington,U-DEC,,12/17/2016
James Moontasri,Alex Morono,U-DEC,,12/17/2016
Scott Holtzman,Josh Emmett,U-DEC,,12/17/2016
Irene Aldana,Leslie Smith,U-DEC,,12/17/2016
Takeya Mizugaki,Eddie Wineland,KO/TKO,Punches,12/17/2016
Fredy Serrano,Hector Sandoval,U-DEC,,12/17/2016
Bojan Velickovic,Sultan Aliev,S-DEC,,12/17/2016
Anthony Pettis,Max Holloway,KO/TKO,Punches,12/10/2016
Matt Brown,Donald Cerrone,KO/TKO,Kick,12/10/2016
Dooho Choi,Cub Swanson,U-DEC,,12/10/2016
Tim Kennedy,Kelvin Gastelum,KO/TKO,Punches,12/10/2016
Jordan Mein,Emil Meek,U-DEC,,12/10/2016
Nikita Krylov,Misha Cirkunov,SUB,Guillotine Choke,12/10/2016
Drew Dober,Olivier Aubin-Mercier,SUB,Rear Naked Choke,12/10/2016
Valerie Letourneau,Viviane Pereira,S-DEC,,12/10/2016
Mitch Gagnon,Matthew Lopez,U-DEC,,12/10/2016
John Makdessi,Lando Vannata,KO/TKO,Kick,12/10/2016
Jason Saggo,Rustam Khabilov,U-DEC,,12/10/2016
Zach Makovsky,Dustin Ortiz,S-DEC,,12/10/2016
Shamil Abdurakhimov,Derrick Lewis,KO/TKO,Punches,12/9/2016
Anthony Hamilton,Francis Ngannou,SUB,Kimura,12/9/2016
Sean O'Connell,Corey Anderson,KO/TKO,Punches,12/9/2016
Saparbeg Safarov,Gian Villante,KO/TKO,Punches,12/9/2016
Ashley Yoder,Justine Kish,U-DEC,,12/9/2016
Brian Camozzi,Randy Brown,KO/TKO,Knee,12/9/2016
Joseph Gigliotti,Gerald Meerschaert,SUB,Anaconda Choke,12/9/2016
Trevor Smith,Andrew Sanchez,U-DEC,,12/9/2016
Tiago dos Santos e Silva,Shane Burgos,U-DEC,,12/9/2016
Frankie Perez,Marc Diakiese,U-DEC,,12/9/2016
Keith Berish,Ryan Janes,U-DEC,,12/9/2016
JJ Aldrich,Juliana Lima,U-DEC,,12/9/2016
Tim Elliott,Demetrious Johnson,U-DEC,,12/3/2016
Henry Cejudo,Joseph Benavidez,S-DEC,,12/3/2016
Jake Ellenberger,Jorge Masvidal,KO/TKO,Punches,12/3/2016
Ion Cutelaba,Jared Cannonier,U-DEC,,12/3/2016
Alexis Davis,Sara McMann,SUB,Arm Triangle,12/3/2016
Ryan Benoit,Brandon Moreno,S-DEC,,12/3/2016
Gray Maynard,Ryan Hall,U-DEC,,12/3/2016
Matt Schnell,Rob Font,KO/TKO,Punch,12/3/2016
Brendan O'Reilly,Dong Hyun Ma,U-DEC,,12/3/2016
Kailin Curran,Jamie Moyle,U-DEC,,12/3/2016
Elvis Mutapcic,Anthony Smith,KO/TKO,Elbow,12/3/2016
Josh Stansbury,Devin Clark,U-DEC,,12/3/2016
Derek Brunson,Robert Whittaker,KO/TKO,Kick,11/26/2016
Jake Matthews,Andrew Holbrook,S-DEC,,11/26/2016
Kyle Noke,Omari Akhmedov,U-DEC,,11/26/2016
Yusuke Kasuya,Alexander Volkanovski,KO/TKO,Punches,11/26/2016
Khalil Rountree Jr.,Tyson Pedro,SUB,Rear Naked Choke,11/26/2016
Seo Hee Ham,Danielle Taylor,S-DEC,,11/26/2016
Chris Camozzi,Daniel Kelly,U-DEC,,11/26/2016
Jon Tuck,Damien Brown,S-DEC,,11/26/2016
Richard Walsh,Jonathan Meunier,U-DEC,,11/26/2016
Geane Herrera,Ben Nguyen,U-DEC,,11/26/2016
Dan Hooker,Jason Knight,U-DEC,,11/26/2016
Guangyou Ning,Marlon Vera,U-DEC,,11/26/2016
Yao Zhikui,Jenel Lausa,U-DEC,,11/26/2016
Rogerio Nogueira,Ryan Bader,KO/TKO,Punches,11/19/2016
Albert Morales,Thomas Almeida,KO/TKO,Punches,11/19/2016
Cortney Casey,Claudia Gadelha,U-DEC,,11/19/2016
Thales Leites,Krzysztof Jotko,U-DEC,,11/19/2016
Warlley Alves,Kamaru Usman,U-DEC,,11/19/2016
Zak Ottow,Sergio Moraes,S-DEC,,11/19/2016
Jack Hermansson,Cezar Ferreira,SUB,Arm Triangle,11/19/2016
Marcos Rogerio de Lima,Gadzhimurad Antigulov,SUB,Guillotine Choke,11/19/2016
Manvel Gamburyan,Johnny Eduardo,KO/TKO,Punch,11/19/2016
Christian Colombo,Luis Henrique,SUB,Guillotine Choke,11/19/2016
Justin Scoggins,Pedro Munhoz,SUB,Guillotine Choke,11/19/2016
Darren Stewart,Francimar Barroso,Overturned,,11/19/2016
Uriah Hall,Gegard Mousasi,KO/TKO,Punches,11/19/2016
Ross Pearson,Stevie Ray,S-DEC,,11/19/2016
Timothy Johnson,Alexander Volkov,S-DEC,,11/19/2016
Teruto Ishihara,Artem Lobov,U-DEC,,11/19/2016
Magnus Cedenblad,Jack Marshman,KO/TKO,Punch,11/19/2016
Ali Bagautinov,Kyoji Horiguchi,U-DEC,,11/19/2016
Magomed Mustafaev,Kevin Lee,SUB,Rear Naked Choke,11/19/2016
Anna Elmose,Amanda Cooper,U-DEC,,11/19/2016
Mark Godbeer,Justin Ledet,SUB,Rear Naked Choke,11/19/2016
Alexander Yakovlev,Zak Cummings,SUB,Armbar,11/19/2016
Milana Dudieva,Marion Reneau,KO/TKO,Elbows,11/19/2016
Kwan Ho Kwak,Brett Johns,U-DEC,,11/19/2016
Charlie Ward,Abdul Razak Alhassan,KO/TKO,Punch,11/19/2016
Eddie Alvarez,Conor McGregor,KO/TKO,Punches,11/12/2016
Stephen Thompson,Tyron Woodley,M-DEC,,11/12/2016
Karolina Kowalkiewicz,Joanna Jedrzejczyk,U-DEC,,11/12/2016
Chris Weidman,Yoel Romero,KO/TKO,Flying Knee,11/12/2016
Miesha Tate,Raquel Pennington,U-DEC,,11/12/2016
Jeremy Stephens,Frankie Edgar,U-DEC,,11/12/2016
Michael Johnson,Khabib Nurmagomedov,SUB,Kimura,11/12/2016
Rafael Natal,Tim Boetsch,KO/TKO,Punches,11/12/2016
Belal Muhammad,Vicente Luque,KO/TKO,Punches,11/12/2016
Thiago Alves,Jim Miller,U-DEC,,11/12/2016
Katlyn Chookagian,Liz Carmouche,S-DEC,,11/12/2016
Rafael Dos Anjos,Tony Ferguson,U-DEC,,11/5/2016
Marcin Held,Diego Sanchez,U-DEC,,11/5/2016
Charles Oliveira,Ricardo Lamas,SUB,Guillotine Choke,11/5/2016
Claudio Puelles,Martin Bravo,KO/TKO,Punch,11/5/2016
Rashid Magomedov,Beneil Dariush,U-DEC,,11/5/2016
Heather Clark,Alexa Grasso,U-DEC,,11/5/2016
Felipe Arantes,Erik Perez,S-DEC,,11/5/2016
Marco Beltran,Joe Soto,SUB,Heel Hook,11/5/2016
Erick Montano,Max Griffin,KO/TKO,Punch,11/5/2016
Henry Briones,Douglas Silva de Andrade,KO/TKO,Spinning Back Fist,11/5/2016
Alex Nicholson,Sam Alvey,U-DEC,,11/5/2016
Jason Novelli,Marco Polo Reyes,S-DEC,,11/5/2016
Chris Avila,Enrique Barzola,U-DEC,,11/5/2016
Dan Henderson,Michael Bisping,U-DEC,,10/8/2016
Vitor Belfort,Gegard Mousasi,KO/TKO,Punches,10/8/2016
Ovince Saint Preux,Jimi Manuwa,KO/TKO,Punch,10/8/2016
Daniel Omielanczuk,Stefan Struve,SUB,D'Arce Choke,10/8/2016
Russell Doane,Mirsad Bektic,SUB,Rear Naked Choke,10/8/2016
Brad Pickett,Iuri Alcantara,SUB,Triangle Choke,10/8/2016
Davey Grant,Damian Stasiak,SUB,Armbar,10/8/2016
Albert Tumenov,Leon Edwards,SUB,Rear Naked Choke,10/8/2016
